"hours","date","time","start_epoch","end_epoch","s_hour","start_date","end_date","volume","answered","minutes","calls_per_minute","calls_per_hour","missed","cpm_answered","avg_min","asr","aloc","seconds"
"1","03 Jun","04:00 pm - 05:00 pm","1780466400","1780470000","1","2026-06-03 16:00:00+10","2026-06-03 17:00:00+10","11","10","12.3","0","11","1","0.16666666666666666667","0","90.91","1.23","739"
"2","03 Jun","03:00 pm - 04:00 pm","1780462800","1780466400","1","2026-06-03 15:00:00+10","2026-06-03 16:00:00+10","37","29","95.1","0","37","3","0.48333333333333333333","0","78.38","3.28","5707"
"3","03 Jun","02:00 pm - 03:00 pm","1780459200","1780462800","1","2026-06-03 14:00:00+10","2026-06-03 15:00:00+10","24","21","35.4","0","24","1","0.35000000000000000000","0","87.50","1.68","2122"
"4","03 Jun","01:00 pm - 02:00 pm","1780455600","1780459200","1","2026-06-03 13:00:00+10","2026-06-03 14:00:00+10","13","11","33.8","0","13","0","0.18333333333333333333","0","84.62","3.07","2025"
"5","03 Jun","12:00 pm - 01:00 pm","1780452000","1780455600","1","2026-06-03 12:00:00+10","2026-06-03 13:00:00+10","37","27","52.9","0","37","3","0.45000000000000000000","0","72.97","1.96","3176"
"6","03 Jun","11:00 am - 12:00 pm","1780448400","1780452000","1","2026-06-03 11:00:00+10","2026-06-03 12:00:00+10","18","16","43.4","0","18","0","0.26666666666666666667","0","88.89","2.71","2602"
"7","03 Jun","10:00 am - 11:00 am","1780444800","1780448400","1","2026-06-03 10:00:00+10","2026-06-03 11:00:00+10","26","19","32.9","0","26","1","0.31666666666666666667","0","73.08","1.73","1975"
"8","03 Jun","09:00 am - 10:00 am","1780441200","1780444800","1","2026-06-03 09:00:00+10","2026-06-03 10:00:00+10","17","17","36.4","0","17","0","0.28333333333333333333","0","100.00","2.14","2181"
"9","03 Jun","08:00 am - 09:00 am","1780437600","1780441200","1","2026-06-03 08:00:00+10","2026-06-03 09:00:00+10","7","6","15.7","0","7","0","0.10000000000000000000","0","85.71","2.61","941"
"10","03 Jun","07:00 am - 08:00 am","1780434000","1780437600","1","2026-06-03 07:00:00+10","2026-06-03 08:00:00+10","1","1","0.1","0","1","0","0.01666666666666666667","0","100.00","0.07","4"
"11","03 Jun","06:00 am - 07:00 am","1780430400","1780434000","1","2026-06-03 06:00:00+10","2026-06-03 07:00:00+10","0","0","","0","0","0","0.00000000000000000000","0","","",""
"12","03 Jun","05:00 am - 06:00 am","1780426800","1780430400","1","2026-06-03 05:00:00+10","2026-06-03 06:00:00+10","1","0","0.3","0","1","0","0.00000000000000000000","0","0.00","","15"
"13","03 Jun","04:00 am - 05:00 am","1780423200","1780426800","1","2026-06-03 04:00:00+10","2026-06-03 05:00:00+10","0","0","","0","0","0","0.00000000000000000000","0","","",""
"14","03 Jun","03:00 am - 04:00 am","1780419600","1780423200","1","2026-06-03 03:00:00+10","2026-06-03 04:00:00+10","0","0","","0","0","0","0.00000000000000000000","0","","",""
"15","03 Jun","02:00 am - 03:00 am","1780416000","1780419600","1","2026-06-03 02:00:00+10","2026-06-03 03:00:00+10","0","0","","0","0","0","0.00000000000000000000","0","","",""
"16","03 Jun","01:00 am - 02:00 am","1780412400","1780416000","1","2026-06-03 01:00:00+10","2026-06-03 02:00:00+10","0","0","","0","0","0","0.00000000000000000000","0","","",""
"17","03 Jun","12:00 am - 01:00 am","1780408800","1780412400","1","2026-06-03 00:00:00+10","2026-06-03 01:00:00+10","0","0","","0","0","0","0.00000000000000000000","0","","",""
"18","02 Jun","11:00 pm - 12:00 am","1780405200","1780408800","1","2026-06-02 23:00:00+10","2026-06-03 00:00:00+10","0","0","","0","0","0","0.00000000000000000000","0","","",""
"19","02 Jun","10:00 pm - 11:00 pm","1780401600","1780405200","1","2026-06-02 22:00:00+10","2026-06-02 23:00:00+10","0","0","","0","0","0","0.00000000000000000000","0","","",""
"20","02 Jun","09:00 pm - 10:00 pm","1780398000","1780401600","1","2026-06-02 21:00:00+10","2026-06-02 22:00:00+10","0","0","","0","0","0","0.00000000000000000000","0","","",""
"21","02 Jun","08:00 pm - 09:00 pm","1780394400","1780398000","1","2026-06-02 20:00:00+10","2026-06-02 21:00:00+10","0","0","","0","0","0","0.00000000000000000000","0","","",""
"22","02 Jun","07:00 pm - 08:00 pm","1780390800","1780394400","1","2026-06-02 19:00:00+10","2026-06-02 20:00:00+10","1","0","0.6","0","1","0","0.00000000000000000000","0","0.00","","33"
"23","02 Jun","06:00 pm - 07:00 pm","1780387200","1780390800","1","2026-06-02 18:00:00+10","2026-06-02 19:00:00+10","2","0","1.2","0","2","1","0.00000000000000000000","0","0.00","","69"
"24","02 Jun","05:00 pm - 06:00 pm","1780383600","1780387200","1","2026-06-02 17:00:00+10","2026-06-02 18:00:00+10","3","0","0.8","0","3","2","0.00000000000000000000","0","0.00","","46"
"25","02 Jun","05:00 pm - 05:00 pm","1780383600","1780470000","24","2026-06-02 17:00:00+10","2026-06-03 17:00:00+10","198","157","360.6","0","8","12","0.10902777777777777778","0","79.29","2.30","21635"
"26","27 May","05:00 pm - 05:00 pm","1779865200","1780470000","168","2026-05-27 17:00:00+10","2026-06-03 17:00:00+10","1249","903","2135.2","0","7","192","0.08958333333333333333","0","72.30","2.36","128113"
"27","04 May","05:00 pm - 05:00 pm","1777878000","1780470000","720","2026-05-04 17:00:00+10","2026-06-03 17:00:00+10","5962","3563","10130.1","0","8","1652","0.08247685185185185185","0","59.76","2.84","607808"
