model,group,rows,distinct_odoo_ids,min_date,max_date,raw_pii_hits,redaction_hits,debit,credit,balance
"account_full_reconcile","accounting_core","500","500","","","0","0","0","0","0"
"account_move","accounting_core","500","500","2024-07-01","2024-07-17","0","154","0","0","0"
"account_partial_reconcile","accounting_core","500","500","","","125","496","0","0","0"
"account_payment","accounting_core","500","500","2024-07-03","2025-06-25","5","4","0","0","0"
"product_product","product_context","500","500","","","0","5","0","0","0"
"product_template","product_context","500","500","","","40","0","0","0","0"
"res_partner","master_data","500","500","","","0","10","0","0","0"
"res_currency","master_data","170","170","","","0","0","0","0","0"
"account_account","accounting_core","165","165","","","0","0","0","0","0"
"product_category","product_context","47","47","","","0","0","0","0","0"
"uom_uom","product_context","28","28","","","4","0","0","0","0"
"account_journal","accounting_core","17","17","","","0","0","0","0","0"
"account_tax","accounting_core","16","16","","","1","0","0","0","0"
"res_company","master_data","1","1","","","0","0","0","0","0"
