model,files,rows,distinct_ids,field_count,min_date,max_date,debit_total,credit_total,balance_total,amount_total,pii_hits_after,personal_fields_redacted,bank_fields_redacted,compacted_text_fields
account_full_reconcile,1,500,500,4,2022-09-05 02:39:01,2023-08-04 07:18:55,0,0,0,0,0,0,0,0
account_move,1,500,500,42,2024-07-01,2024-07-17,0,0,0,0,0,0,0,1500
account_partial_reconcile,1,500,500,14,2023-07-04 00:20:02,2023-07-31 02:27:40,0,0,0,289199.93,125,0,0,0
account_payment,1,500,500,34,2024-07-03,2025-06-25,0,0,0,1701733.43,12,0,0,500
res_partner,1,500,500,24,2022-07-22 02:34:29,2022-10-13 03:17:14,0,0,0,0,0,1902,0,0
product_product,1,500,500,10,2022-10-19 06:30:24,2022-10-19 06:30:24,0,0,0,0,0,0,0,0
product_template,1,500,500,19,2022-10-19 06:30:24,2022-10-19 06:30:24,0,0,0,0,40,0,0,0
res_currency,1,170,170,9,2022-07-22 02:34:31,2024-09-18 09:05:58,0,0,0,0,0,0,0,0
account_account,1,165,165,9,2022-08-14 23:12:42,2026-05-25 02:16:09,0,0,0,0,0,0,0,0
product_category,1,47,47,9,2022-07-22 02:35:26,2025-11-25 03:40:29,0,0,0,0,0,0,0,0
uom_uom,1,28,28,11,2022-07-22 02:35:13,2024-09-18 08:56:42,0,0,0,0,0,0,0,0
account_journal,1,17,17,14,2022-08-14 23:12:42,2026-03-02 05:30:01,0,0,0,0,0,0,0,0
account_tax,1,16,16,15,2022-08-14 23:12:42,2022-08-14 23:12:42,0,0,0,100000100,1,0,0,0
res_company,1,1,1,12,2022-08-05 16:33:50,2022-08-05 16:33:50,0,0,0,0,0,0,0,0
account_move_line,1,0,0,0,,,0,0,0,0,0,0,0,0
pos_category,1,0,0,0,,,0,0,0,0,0,0,0,0
pos_config,1,0,0,0,,,0,0,0,0,0,0,0,0
pos_order,1,0,0,0,,,0,0,0,0,0,0,0,0
pos_order_line,1,0,0,0,,,0,0,0,0,0,0,0,0
pos_payment,1,0,0,0,,,0,0,0,0,0,0,0,0
pos_payment_method,1,0,0,0,,,0,0,0,0,0,0,0,0
pos_session,1,0,0,0,,,0,0,0,0,0,0,0,0
